Position,Image_club,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,https://resources.premierleague.com/premierleague/badges/25/t43.png,Manchester City,38,28,5,5,94,33,61,89
2,https://resources.premierleague.com/premierleague/badges/25/t3.png,Arsenal,38,26,6,6,88,43,45,84
3,https://resources.premierleague.com/premierleague/badges/25/t1.png,Manchester United,38,23,6,9,58,43,15,75
4,https://resources.premierleague.com/premierleague/badges/25/t4.png,Newcastle United,38,19,14,5,68,33,35,71
5,https://resources.premierleague.com/premierleague/badges/25/t14.png,Liverpool,38,19,10,9,75,47,28,67
6,https://resources.premierleague.com/premierleague/badges/25/t36.png,Brighton and Hove Albion,38,18,8,12,72,53,19,62
7,https://resources.premierleague.com/premierleague/badges/25/t7.png,Aston Villa,38,18,7,13,51,46,5,61
8,https://resources.premierleague.com/premierleague/badges/25/t6.png,Tottenham Hotspur,38,18,6,14,70,63,7,60
9,https://resources.premierleague.com/premierleague/badges/25/t94.png,Brentford,38,15,14,9,58,46,12,59
10,https://resources.premierleague.com/premierleague/badges/25/t54.png,Fulham,38,15,7,16,55,53,2,52
11,https://resources.premierleague.com/premierleague/badges/25/t31.png,Crystal Palace,38,11,12,15,40,49,-9,45
12,https://resources.premierleague.com/premierleague/badges/25/t8.png,Chelsea,38,11,11,16,38,47,-9,44
13,https://resources.premierleague.com/premierleague/badges/25/t39.png,Wolverhampton Wanderers,38,11,8,19,31,58,-27,41
14,https://resources.premierleague.com/premierleague/badges/25/t21.png,West Ham United,38,11,7,20,42,55,-13,40
15,https://resources.premierleague.com/premierleague/badges/25/t91.png,Bournemouth,38,11,6,21,37,71,-34,39
16,https://resources.premierleague.com/premierleague/badges/25/t17.png,Nottingham Forest,38,9,11,18,38,68,-30,38
17,https://resources.premierleague.com/premierleague/badges/25/t11.png,Everton,38,8,12,18,34,57,-23,36
18,https://resources.premierleague.com/premierleague/badges/25/t13.png,Leicester City,38,9,7,22,51,68,-17,34
19,https://resources.premierleague.com/premierleague/badges/25/t2.png,Leeds United,38,7,10,21,48,78,-30,31
20,https://resources.premierleague.com/premierleague/badges/25/t20.png,Southampton,38,6,7,25,36,73,-37,25
