Rank,Club,Stat
1,     Manchester United ,10
2,     Liverpool ,7
3,     Manchester City ,7
4,     Brentford ,6
5,     Aston Villa ,5
6,     Crystal Palace ,5
7,     Newcastle United ,5
8,     Southampton ,5
9,     Wolverhampton Wanderers ,5
10,     Arsenal ,4
11,     Everton ,4
12,     Leicester City ,4
13,     Tottenham Hotspur ,4
14,     Brighton & Hove Albion ,3
15,     Fulham ,3
16,     Nottingham Forest ,3
17,     Leeds United ,2
18,     Bournemouth ,1
19,     Chelsea ,1
20,     West Ham United ,1
