Rank,Club,Blocks,Clean Sheets,Clearances,Penalties Conceded,Goals Conceded Penalty,Goals Conceded,Interceptions,Own Goals,Saves,Tackles
1,     Everton ,180,9,829,6,5,57,390,0,128,708
2,     Wolverhampton Wanderers ,175,11,780,4,2,58,279,1,119,661
3,     Bournemouth ,170,8,971,7,6,71,353,3,136,618
4,     Leicester City ,170,7,723,6,4,68,367,5,116,700
5,     Brentford ,168,12,770,3,2,46,341,3,154,587
6,     Southampton ,165,4,826,3,2,73,428,5,83,713
7,     Nottingham Forest ,156,8,892,9,6,68,349,0,115,660
8,     Tottenham Hotspur ,148,10,725,4,3,63,340,1,111,617
9,     Manchester United ,146,17,734,3,2,43,352,1,101,658
10,     West Ham United ,139,9,779,7,4,55,408,1,117,607
11,     Leeds United ,131,5,709,6,5,78,392,1,110,840
12,     Fulham ,125,9,714,8,7,53,340,2,146,624
13,     Crystal Palace ,119,9,788,5,4,50,359,4,116,690
14,     Aston Villa ,118,12,663,6,5,46,324,4,109,632
15,     Newcastle United ,116,14,646,5,2,33,333,2,97,607
16,     Chelsea ,108,10,628,1,1,47,341,3,116,740
17,     Brighton & Hove Albion ,104,12,412,8,6,53,303,6,85,616
18,     Manchester City ,95,13,391,3,3,33,223,1,60,471
19,     Arsenal ,86,14,567,6,3,43,237,1,95,568
20,     Liverpool ,74,14,540,4,2,49,333,2,114,590
